filepath,source,label,emotion,intensity,screaming,split
Screaming\NotScreaming\H0GhpHKOBEw_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\0yRn5wEopkQ_out.wav,SCREAMING_DATASET,neutral,,,False,train
RAVDESS\03-01-03-01-01-02-22.wav,RAVDESS,neutral,happy,normal,,train
Screaming\NotScreaming\1puLrugy32w_out.wav,SCREAMING_DATASET,neutral,,,False,train
RAVDESS\03-01-04-01-02-02-16.wav,RAVDESS,neutral,sad,normal,,train
Screaming\NotScreaming\UG9I752Mmdk_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\CgNKbp-L0Jk_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\mHPeZzWcOeQ_out.wav,SCREAMING_DATASET,neutral,,,False,train
RAVDESS\03-01-03-01-02-01-13.wav,RAVDESS,neutral,happy,normal,,train
Screaming\NotScreaming\yoK4rannXCw_out.wav,SCREAMING_DATASET,neutral,,,False,train
RAVDESS\03-01-05-01-02-01-13.wav,RAVDESS,aggressive,angry,normal,,train
Screaming\NotScreaming\MqDA0h-8IvE_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\0hw_BB4QN34_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\1_U3ijFPbIE_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\Screaming\ljkaMRDU5ng_out.wav,SCREAMING_DATASET,aggressive,,,True,train
RAVDESS\03-01-08-01-02-02-13.wav,RAVDESS,neutral,surprised,normal,,train
Screaming\NotScreaming\E9Dewvs_3Qk_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\2byI2Geq80k_out.wav,SCREAMING_DATASET,neutral,,,False,train
Emotions\649920f4ffab6240f9f3677a-joyfully.wav,EMOTIONS_DATASET,neutral,joyfully,,,train
Screaming\NotScreaming\lNqK6lfAexI_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\4ertekFHXbg_out.wav,SCREAMING_DATASET,neutral,,,False,train
RAVDESS\03-01-02-01-01-01-02.wav,RAVDESS,neutral,calm,normal,,train
Screaming\Screaming\Y4KAkfJBznM_out.wav,SCREAMING_DATASET,aggressive,,,True,train
RAVDESS\03-01-04-02-01-02-10.wav,RAVDESS,neutral,sad,strong,,train
Screaming\Screaming\W-CwUhhYa6Y_out.wav,SCREAMING_DATASET,aggressive,,,True,train
RAVDESS\03-01-03-01-01-01-22.wav,RAVDESS,neutral,happy,normal,,train
Screaming\NotScreaming\L4HuIzg6Tlw_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\68qvHxql5OY_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\uSItpibTSVk_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\J9zPsO6DmSE_out.wav,SCREAMING_DATASET,neutral,,,False,train
RAVDESS\03-01-01-01-01-02-02.wav,RAVDESS,neutral,neutral,normal,,train
RAVDESS\03-01-02-02-02-02-13.wav,RAVDESS,neutral,calm,strong,,train
Screaming\NotScreaming\1nF0Pv-VBSc_out.wav,SCREAMING_DATASET,neutral,,,False,train
RAVDESS\03-01-02-02-02-01-12.wav,RAVDESS,neutral,calm,strong,,train
Screaming\NotScreaming\pbWV4YRRo8Q_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\8itgAad5TdE_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\9CJu43AvIds_out.wav,SCREAMING_DATASET,neutral,,,False,train
RAVDESS\03-01-07-01-01-01-15.wav,RAVDESS,neutral,disgust,normal,,train
Screaming\Screaming\km5YVF5x_CU_out.wav,SCREAMING_DATASET,aggressive,,,True,train
Emotions\64991c0dd94c0d5726df032a-euphoric.wav,EMOTIONS_DATASET,neutral,euphoric,,,train
Emotions\64991c3e63d8b20f56d0eeba-surprised.wav,EMOTIONS_DATASET,neutral,surprised,,,train
